"probe_id"	"symbol"
"1351"	"10346164"	"Sdpr"
"1354"	"10346168"	"Stat4"
"1376"	"10346191"	"Stat1"
"1405"	"10346222"	"---"
"1406"	"10346224"	"Tmem194b"
"1416"	"10346235"	"Hibch"
"1430"	"10346250"	"Mstn"
"1434"	"10346255"	"Ormdl1"
"1438"	"10346260"	"Osgepl1"
"1446"	"10346269"	"Ccdc150"
"1474"	"10346298"	"Coq10b"
"1478"	"10346303"	"Hspe1"
"1484"	"10346310"	"Mob4"
"1494"	"10346321"	"Gm10561"
"1495"	"10346323"	"Mars2"
"1499"	"10346328"	"---"
"1500"	"10346330"	"Plcl1"
"1506"	"10346337"	"1700066M21Rik"
"1508"	"10346340"	"9430016H08Rik"
"1515"	"10346348"	"Spats2l"
"1531"	"10346365"	"Sgol2a"
"1539"	"10346374"	"Aox1"
"1574"	"10346410"	"Aox3"
"1611"	"10346448"	"Aox4"
"1647"	"10346485"	"Aox2"
"1684"	"10346523"	"Bzw1"
"1693"	"10346533"	"Nif3l1"
"1703"	"10346544"	"Ndufb3"
"1707"	"10346549"	"Cbx3-ps7"
"1708"	"10346551"	"Cflar"
"1718"	"10346562"	"Cflar"
"1719"	"10346564"	"Casp8"
"1730"	"10346576"	"Stradb"
"1745"	"10346592"	"G730003C15Rik"
"1746"	"10346594"	"Cdk15"
"1758"	"10346607"	"Fzd7"
"1761"	"10346611"	"Gm973"
"1783"	"10346634"	"Nop58"
"1799"	"10346651"	"Bmpr2"
"1815"	"10346668"	"Fam117b"
"1824"	"10346678"	"Carf"
"1839"	"10346695"	"Nbeal1"
"1865"	"10346722"	"Nbeal1"
"1889"	"10346747"	"Cyp20a1"
"1903"	"10346764"	"Abi2"
"1918"	"10346780"	"---"
"1920"	"10346783"	"Cd28"
"1926"	"10346790"	"Ctla4"
"1934"	"10346799"	"Icos"
"1942"	"10346808"	"Rpl17-ps1"
"1943"	"10346810"	"Pard3b"
"1970"	"10346838"	"Pard3b"
"1971"	"10346840"	"Gm11599"
"1973"	"10346843"	"Nrp2"
"1996"	"10346867"	"Eef1b2"
"2002"	"10346874"	"Gm26457"
"2003"	"10346876"	"Snora41"
"2004"	"10346878"	"Zdbf2"
"2007"	"10346882"	"Adam23"
"2038"	"10346914"	"Fastkd2"
"2051"	"10346928"	"---"
"2060"	"10346938"	"Gm13749"
"2062"	"10346941"	"Gm13750"
"2063"	"10346943"	"Creb1"
"2078"	"10346960"	"Ccnyl1"
"2087"	"10346970"	"Pikfyve"
"2134"	"10347018"	"Pth2r"
"2148"	"10347033"	"Crygf"
"2150"	"10347036"	"Map2"
"2171"	"10347058"	"Gm25411"
"2172"	"10347060"	"Unc80"
"2184"	"10347073"	"Unc80"
"2216"	"10347106"	"Rpe"
"2224"	"10347115"	"Gm27934"
"2225"	"10347117"	"Cps1"
"2265"	"10347158"	"Kif22-ps"
"2269"	"10347163"	"Spag16"
"2291"	"10347186"	"Gm23422"
"2292"	"10347188"	"Vwc2l"
"2296"	"10347193"	"Atic"
"2312"	"10347210"	"Apol7d"
"2315"	"10347214"	"---"
"2316"	"10347216"	"Gm5528"
"2317"	"10347218"	"Gm25360"
"2318"	"10347220"	"---"
"2319"	"10347222"	"Gm24497"
"2320"	"10347224"	"Gm25939"
"2321"	"10347226"	"Tmem169"
"2326"	"10347232"	"Xrcc5"
"2347"	"10347254"	"Smarcal1"
"2365"	"10347273"	"Rpl37a"
"2368"	"10347277"	"Igfbp2"
"2372"	"10347282"	"Rufy4"
"2380"	"10347291"	"Cxcr2"
"2383"	"10347295"	"Gm25524"
"2384"	"10347297"	"Arpc2"
"2393"	"10347307"	"Gpbar1"
"2395"	"10347310"	"Pnkd"
"2408"	"10347324"	"Catip"
"2418"	"10347335"	"Slc11a1"
"2433"	"10347351"	"Ctdsp1"
"2443"	"10347362"	"Mir26b"
"2444"	"10347364"	"Vil1"
"2465"	"10347386"	"Rqcd1"
"2476"	"10347398"	"Plcd4"
"2494"	"10347417"	"Bcs1l"
"2503"	"10347427"	"Stk36"
"2535"	"10347460"	"Ttll4"
"2555"	"10347481"	"Cyp27a1"
"2564"	"10347491"	"Wnt6"
"2569"	"10347497"	"Wnt10a"
"2574"	"10347503"	"Cdk5r2"
"2578"	"10347508"	"Fam134a"
"2590"	"10347521"	"Zfand2b"
"2599"	"10347531"	"Ankzf1"
"2619"	"10347552"	"Stk16"
"2630"	"10347564"	"Dnajb2"
"2648"	"10347583"	"Des"
"2657"	"10347593"	"Speg"
"2702"	"10347639"	"Gmppa"
"2712"	"10347650"	"Asic4"
"2723"	"10347662"	"Tmem198"
"2729"	"10347669"	"Inha"
"2731"	"10347672"	"Stk11ip"
"2755"	"10347697"	"Slc4a3"
"2780"	"10347724"	"Slc4a3"
"2781"	"10347726"	"Gm5257"
"2782"	"10347728"	"---"
"2783"	"10347730"	"---"
"2784"	"10347732"	"Gm33152"
"2785"	"10347734"	"Sgpp2"
"2791"	"10347741"	"Mogat1"
"2797"	"10347748"	"---"
"2815"	"10347767"	"Kcne4"
"2819"	"10347774"	"Mrpl44"
"2823"	"10347779"	"9830004L10Rik"
"2824"	"10347781"	"Nyap2"
"2832"	"10347790"	"---"
"2833"	"10347792"	"Gm9747"
"2836"	"10347796"	"Rhbdd1"
"2846"	"10347807"	"Col4a3"
"2898"	"10347860"	"n-R5s213"
"2899"	"10347862"	"Mff"
"2909"	"10347873"	"Agfg1"
"2923"	"10347888"	"Ccl20"
"2929"	"10347895"	"Daw1"
"2943"	"10347910"	"Fbxo36"
"2947"	"10347915"	"Gm15433"
"2948"	"10347917"	"---"
"2949"	"10347919"	"Gm10553"
"2950"	"10347921"	"A530040E14Rik"
"2953"	"10347925"	"Gm7609"
"2955"	"10347928"	"---"
"2957"	"10347931"	"G530012D18Rik"
"2958"	"10347933"	"Sp140"
"2972"	"10347948"	"Sp100"
"2991"	"10347968"	"Sp100"
"2992"	"10347970"	"Cab39"
"3001"	"10347980"	"Itm2c"
"3008"	"10347988"	"4933407L21Rik"
"3011"	"10347992"	"Spata3"
"3018"	"10348000"	"2810459M11Rik"
"3021"	"10348004"	"Psmd1"
"3046"	"10348032"	"Armc9"
"3075"	"10348062"	"B3gnt7"
"3082"	"10348070"	"C130036L24Rik"
"3083"	"10348072"	"C130036L24Rik"
"3084"	"10348074"	"1700019O17Rik"
"3085"	"10348076"	"Rpl30-ps6"
"3086"	"10348078"	"Ptma"
"3094"	"10348087"	"Cops7b"
"3102"	"10348096"	"Dis3l2"
"3124"	"10348119"	"Akp-ps1"
"3135"	"10348131"	"Akp3"
"3147"	"10348144"	"Prss56"
"3152"	"10348150"	"Chrnd"
"3167"	"10348166"	"Chrng"
"3180"	"10348180"	"Eif4e2"
"3193"	"10348194"	"Efhd1"
"3199"	"10348201"	"Gigyf2"
"3231"	"10348234"	"Neu2"
"3236"	"10348240"	"3110079O15Rik"
"3239"	"10348244"	"Inpp5d"
"3271"	"10348277"	"Atg16l1"
"3292"	"10348301"	"Sag"
"3311"	"10348321"	"Dgkd"
"3343"	"10348354"	"Gm15375"
"3364"	"10348376"	"Mroh2a"
"3365"	"10348378"	"Trpm8"
"3395"	"10348410"	"Spp2"
"3404"	"10348420"	"Gm4753"
"3407"	"10348424"	"Sh3bp4"
"3414"	"10348432"	"Agap1"
"3432"	"10348451"	"Ackr3"
"3436"	"10348456"	"Cops8"
"3447"	"10348468"	"Gm9991"
"3449"	"10348471"	"Mlph"
"3466"	"10348489"	"Prlh"
"3468"	"10348493"	"Lrrfip1"
"3495"	"10348521"	"Rbm44"
"3510"	"10348537"	"Ramp1"
"3519"	"10348547"	"Ube2f"
"3527"	"10348556"	"---"
"3528"	"10348558"	"Scly"
"3539"	"10348570"	"Espnl"
"3548"	"10348580"	"Klhl30"
"3557"	"10348590"	"Fam132b"
"3566"	"10348600"	"Traf3ip1"
"3583"	"10348618"	"Asb1"
"3596"	"10348632"	"Twist2"
"3598"	"10348635"	"Olfr1413"
"3599"	"10348637"	"Olfr1412"
"3600"	"10348639"	"Olfr1411"
"3601"	"10348641"	"Olfr1410"
"3602"	"10348643"	"Olfr12"
"3603"	"10348645"	"Gpr35"
"3608"	"10348653"	"Gpc1"
"3618"	"10348664"	"Mir149"
"3619"	"10348666"	"Dusp28"
"3622"	"10348670"	"Rnpepl1"
"3633"	"10348682"	"Capn10"
"3646"	"10348697"	"Aqp12"
"3650"	"10348702"	"Agxt"
"3660"	"10348713"	"Crocc2"
"3685"	"10348739"	"Sned1"
"3719"	"10348775"	"Ppp1r7"
"3732"	"10348789"	"Gm26446"
"3733"	"10348791"	"Ano7"
"3758"	"10348817"	"Sept2"
"3769"	"10348829"	"Farp2"
"3797"	"10348858"	"Bok"
"3802"	"10348864"	"Gm10550"
"3803"	"10348866"	"Atg4b"
"3815"	"10348879"	"Ing5"
"3824"	"10348889"	"D2hgdh"
"3830"	"10348896"	"Gal3st2"
"3835"	"10348902"	"Gm9994"
"3838"	"10348906"	"Gm6086"
"3841"	"10348910"	"Neu4"
"3847"	"10348917"	"Fam174a"
"3853"	"10348924"	"Rpl18a"
"3855"	"10348927"	"Gm26245"
"3856"	"10348929"	"---"
"3858"	"10348932"	"Gin1"
"3868"	"10348943"	"Gm24465"
"3869"	"10348945"	"Gm7952"
"3870"	"10348947"	"Slco6d1"
"3885"	"10348963"	"Cntnap5b"
"3904"	"10348983"	"Gm3116"
"3909"	"10348994"	"Gm18728"
"3910"	"10348996"	"Gm5260"
"3912"	"10348999"	"Cdh20"
"3926"	"10349014"	"Capza1"
"3927"	"10349016"	"2310035C23Rik"
"3959"	"10349049"	"Gm10193"
"3960"	"10349051"	"Tnfrsf11a"
"3973"	"10349065"	"Zcchc2"
"3987"	"10349081"	"Phlpp1"
"4005"	"10349100"	"Gm6651"
"4006"	"10349102"	"D630008O14Rik"
"4011"	"10349108"	"Serpinb5"
"4020"	"10349118"	"Serpinb12"
"4030"	"10349129"	"Serpinb13"
"4038"	"10349138"	"Serpinb11"
"4046"	"10349147"	"Serpinb7"
"4055"	"10349157"	"Serpinb2"
"4063"	"10349166"	"---"
"4070"	"10349174"	"Serpinb8"
"4079"	"10349184"	"Cdh7"
"4100"	"10349208"	"Cntnap5a"
"4124"	"10349233"	"Gm19965"
"4127"	"10349237"	"Gm24030"
"4128"	"10349239"	"Nifk"
"4137"	"10349249"	"Clasp1"
"4182"	"10349295"	"Tfcp2l1"
"4200"	"10349314"	"Gm8321"
"4201"	"10349316"	"Tmem185b"
"4203"	"10349319"	"Sctr"
"4216"	"10349333"	"3110009E18Rik"
"4222"	"10349340"	"C1ql2"
"4226"	"10349345"	"En1"
"4228"	"10349348"	"Ccdc93"
"4255"	"10349376"	"Gm24547"
"4256"	"10349378"	"---"
"4258"	"10349383"	"Slc35f5"
"4275"	"10349401"	"Gpr39"
"4277"	"10349404"	"Mgat5"
"4299"	"10349427"	"---"
"4300"	"10349429"	"Gm23734"
