"Gene"	"SN_1"	"SN_2"	"SN_3"	"SN_4"	"ON_1"	"ON_2"	"ON_3"	"ON_4"	"SPF_1"	"SPF_2"	"SPF_3"	"SPF_4"	"SPF_5"
"Gm42844"	0	0	0	0	0	0	0	0	0	0	0	0	0
"Dpp6"	0	0	0	0	0	0	0	0	0	104	1	1	0
"Gm29784"	0	0	0	0	0	0	0	0	0	0	0	0	0
"Gm16056"	0	0	0	0	0	0	1	0	0	0	0	1	0
"Gm16057"	0	0	0	3	0	0	0	0	0	0	0	0	0
"Gm43776"	0	0	0	0	0	0	0	0	0	0	0	0	0
"Gm43502"	0	0	0	0	0	0	0	0	0	0	0	0	0
"Speer4b"	0	0	0	0	0	0	0	0	0	0	0	0	0
"Gm16058"	0	0	0	0	0	0	0	0	1	0	0	0	0
"Paxip1"	75	135	133	165	80	105	26	103	70	589	371	442	359
"Gm43433"	0	0	0	0	0	0	0	0	0	0	0	0	0
"Gm20239"	0	0	0	0	0	0	0	0	0	0	0	0	0
"Htr5a"	0	0	0	0	0	0	0	0	0	0	0	1	0
"Gm43096"	0	0	0	0	1	0	0	0	1	0	0	1	2
"Gm5551"	0	1	0	1	0	0	0	4	0	0	1	0	0
"Gm4865"	0	1	3	2	3	1	2	6	2	6	14	7	5
"Gm26608"	0	1	0	1	0	0	0	0	0	0	0	0	0
"Gm43611"	0	3	0	0	0	0	0	0	0	0	0	0	0
"Insig1"	2025	2147	1643	1799	1692	2231	1930	2089	54	209	150	173	77
"En2"	0	0	0	7	0	0	0	0	1	0	0	0	0
"Gm43610"	0	0	0	0	0	0	0	0	0	0	0	0	0
"Cnpy1"	0	0	0	0	0	0	0	0	0	1	0	2	0
"Rbm33"	374	240	328	495	387	357	286	452	620	694	200	433	452
"Shh"	0	0	0	2	0	0	0	0	0	0	0	1	0
"9530036O11Rik"	0	0	0	0	0	0	0	0	0	0	0	0	0
"Gm26894"	0	0	0	0	0	0	0	0	0	0	0	0	0
"Gm10290"	2	2	5	1	5	1	6	13	3	2	1	5	3
"Gm43161"	0	0	0	0	0	0	0	0	0	0	0	0	0
"Rnf32"	0	0	0	0	0	1	0	0	0	1	0	6	0
